name,datetime,kWh,pressure,temperature,wind_direction,wind_speed
25 Gordon Street,2017-01-01 00:30:00,8.5,30.19,45,230.0,7.0
25 Gordon Street,2017-01-01 01:00:00,8.0,30.16,45,230.0,6.0
25 Gordon Street,2017-01-01 01:30:00,8.5,30.16,45,240.0,7.0
25 Gordon Street,2017-01-01 02:00:00,8.5,30.13,45,240.0,10.0
25 Gordon Street,2017-01-01 02:30:00,8.0,30.13,45,210.0,9.0
25 Gordon Street,2017-01-01 03:00:00,8.5,30.1,45,220.0,9.0
25 Gordon Street,2017-01-01 03:30:00,8.5,30.1,45,220.0,8.0
25 Gordon Street,2017-01-01 04:00:00,8.5,30.07,45,220.0,8.0
25 Gordon Street,2017-01-01 04:30:00,8.5,30.04,45,230.0,8.0
25 Gordon Street,2017-01-01 05:00:00,8.5,30.04,45,220.0,9.0
25 Gordon Street,2017-01-01 05:30:00,8.5,30.01,45,230.0,8.0
25 Gordon Street,2017-01-01 06:00:00,8.5,30.01,45,240.0,8.0
25 Gordon Street,2017-01-01 06:30:00,8.0,30.01,45,220.0,7.0
25 Gordon Street,2017-01-01 07:00:00,8.5,30.01,45,230.0,8.0
25 Gordon Street,2017-01-01 07:30:00,8.5,29.98,46,230.0,7.0
25 Gordon Street,2017-01-01 08:00:00,8.0,29.98,46,220.0,7.0
25 Gordon Street,2017-01-01 08:30:00,8.0,29.98,46,220.0,7.0
25 Gordon Street,2017-01-01 09:00:00,8.5,29.98,46,210.0,6.0
25 Gordon Street,2017-01-01 09:30:00,8.0,29.98,48,230.0,5.0
25 Gordon Street,2017-01-01 10:00:00,8.5,29.96,48,240.0,7.0
25 Gordon Street,2017-01-01 10:30:00,8.5,29.96,50,240.0,9.0
25 Gordon Street,2017-01-01 11:00:00,8.5,29.96,50,240.0,9.0
25 Gordon Street,2017-01-01 11:30:00,9.0,29.96,50,250.0,8.0
25 Gordon Street,2017-01-01 12:00:00,8.0,29.96,50,240.0,10.0
25 Gordon Street,2017-01-01 12:30:00,8.5,29.93,50,240.0,9.0
25 Gordon Street,2017-01-01 13:00:00,8.5,29.93,50,240.0,9.0
25 Gordon Street,2017-01-01 13:30:00,8.5,29.93,50,240.0,9.0
25 Gordon Street,2017-01-01 14:00:00,8.0,29.93,48,270.0,8.0
25 Gordon Street,2017-01-01 14:30:00,8.5,29.96,45,350.0,17.0
25 Gordon Street,2017-01-01 15:00:00,8.0,29.98,43,10.0,13.0
25 Gordon Street,2017-01-01 15:30:00,8.0,29.98,43,360.0,13.0
25 Gordon Street,2017-01-01 16:00:00,8.5,30.01,43,10.0,10.0
25 Gordon Street,2017-01-01 16:30:00,8.5,30.04,43,20.0,15.0
25 Gordon Street,2017-01-01 17:00:00,8.5,30.04,41,30.0,9.0
25 Gordon Street,2017-01-01 17:30:00,9.0,30.04,41,30.0,12.0
25 Gordon Street,2017-01-01 18:00:00,8.0,30.07,41,30.0,9.0
25 Gordon Street,2017-01-01 18:30:00,8.5,30.07,41,30.0,8.0
25 Gordon Street,2017-01-01 19:00:00,8.5,30.1,41,30.0,9.0
25 Gordon Street,2017-01-01 19:30:00,8.5,30.1,41,30.0,9.0
25 Gordon Street,2017-01-01 20:00:00,8.0,30.13,41,20.0,8.0
25 Gordon Street,2017-01-01 20:30:00,8.5,30.13,41,20.0,9.0
25 Gordon Street,2017-01-01 21:00:00,8.5,30.13,41,10.0,10.0
25 Gordon Street,2017-01-01 21:30:00,8.0,30.16,41,10.0,7.0
25 Gordon Street,2017-01-01 22:00:00,8.5,30.16,41,10.0,8.0
25 Gordon Street,2017-01-01 22:30:00,8.5,30.16,41,10.0,7.0
25 Gordon Street,2017-01-01 23:00:00,8.5,30.16,41,10.0,6.0
25 Gordon Street,2017-01-01 23:30:00,8.5,30.19,41,10.0,7.0
25 Gordon Street,2017-01-02 00:00:00,9.0,30.19,41,10.0,7.0
25 Gordon Street,2017-01-02 00:30:00,8.5,30.19,41,360.0,9.0
25 Gordon Street,2017-01-02 01:00:00,8.5,30.19,41,10.0,8.0
25 Gordon Street,2017-01-02 01:30:00,8.5,30.22,41,10.0,7.0
25 Gordon Street,2017-01-02 02:00:00,8.5,30.22,41,10.0,10.0
25 Gordon Street,2017-01-02 02:30:00,7.5,30.25,39,350.0,7.0
25 Gordon Street,2017-01-02 03:00:00,8.5,30.25,39,350.0,9.0
25 Gordon Street,2017-01-02 03:30:00,8.0,30.25,37,360.0,7.0
25 Gordon Street,2017-01-02 04:00:00,8.0,30.28,37,350.0,5.0
25 Gordon Street,2017-01-02 04:30:00,8.5,30.28,37,350.0,6.0
25 Gordon Street,2017-01-02 06:00:00,8.5,30.28,37,310.0,6.0
25 Gordon Street,2017-01-02 06:30:00,9.0,30.31,37,350.0,7.0
25 Gordon Street,2017-01-02 07:00:00,8.0,30.31,37,360.0,6.0
25 Gordon Street,2017-01-02 07:30:00,8.0,30.31,37,350.0,6.0
25 Gordon Street,2017-01-02 08:00:00,8.0,30.34,37,350.0,6.0
25 Gordon Street,2017-01-02 08:30:00,8.5,30.34,37,340.0,6.0
25 Gordon Street,2017-01-02 09:00:00,8.0,30.34,37,340.0,6.0
25 Gordon Street,2017-01-02 09:30:00,7.5,30.37,37,340.0,9.0
25 Gordon Street,2017-01-02 10:00:00,8.5,30.37,39,350.0,10.0
25 Gordon Street,2017-01-02 10:30:00,8.0,30.37,39,350.0,10.0
25 Gordon Street,2017-01-02 11:00:00,8.5,30.37,39,340.0,9.0
25 Gordon Street,2017-01-02 11:30:00,8.5,30.37,41,360.0,10.0
25 Gordon Street,2017-01-02 12:00:00,9.0,30.37,41,360.0,8.0
25 Gordon Street,2017-01-02 12:30:00,8.0,30.37,41,350.0,9.0
25 Gordon Street,2017-01-02 13:00:00,8.5,30.37,41,330.0,7.0
25 Gordon Street,2017-01-02 13:30:00,8.5,30.37,43,340.0,7.0
25 Gordon Street,2017-01-02 14:00:00,9.0,30.37,43,320.0,7.0
25 Gordon Street,2017-01-02 14:30:00,8.0,30.37,43,300.0,7.0
25 Gordon Street,2017-01-02 15:00:00,8.5,30.37,41,330.0,6.0
25 Gordon Street,2017-01-02 15:30:00,8.0,30.37,41,340.0,6.0
25 Gordon Street,2017-01-02 16:00:00,9.0,30.4,41,300.0,8.0
25 Gordon Street,2017-01-02 16:30:00,9.0,30.4,41,300.0,6.0
25 Gordon Street,2017-01-02 17:00:00,9.0,30.4,39,300.0,7.0
25 Gordon Street,2017-01-02 17:30:00,9.0,30.4,39,290.0,6.0
25 Gordon Street,2017-01-02 18:00:00,9.0,30.4,37,280.0,6.0
25 Gordon Street,2017-01-02 18:30:00,9.0,30.4,37,280.0,6.0
25 Gordon Street,2017-01-02 19:00:00,9.0,30.4,37,290.0,7.0
25 Gordon Street,2017-01-02 19:30:00,9.0,30.4,37,290.0,7.0
25 Gordon Street,2017-01-02 20:00:00,8.5,30.4,37,290.0,8.0
25 Gordon Street,2017-01-02 20:30:00,9.0,30.4,37,290.0,8.0
25 Gordon Street,2017-01-02 21:00:00,9.0,30.4,37,280.0,7.0
25 Gordon Street,2017-01-02 21:30:00,8.5,30.4,36,290.0,7.0
25 Gordon Street,2017-01-02 22:00:00,8.5,30.4,36,280.0,7.0
25 Gordon Street,2017-01-02 22:30:00,9.0,30.4,36,260.0,6.0
25 Gordon Street,2017-01-02 23:00:00,8.5,30.4,34,230.0,6.0
25 Gordon Street,2017-01-02 23:30:00,9.0,30.4,34,230.0,7.0
25 Gordon Street,2017-01-03 00:00:00,10.5,30.4,34,250.0,7.0
25 Gordon Street,2017-01-03 00:30:00,9.0,30.4,34,240.0,7.0
25 Gordon Street,2017-01-03 01:00:00,9.0,30.4,34,230.0,7.0
25 Gordon Street,2017-01-03 01:30:00,8.5,30.4,34,230.0,6.0
25 Gordon Street,2017-01-03 02:00:00,9.0,30.4,34,230.0,8.0
25 Gordon Street,2017-01-03 02:30:00,9.0,30.4,32,250.0,6.0
25 Gordon Street,2017-01-03 03:00:00,8.5,30.4,32,230.0,8.0
25 Gordon Street,2017-01-03 03:30:00,8.0,30.37,32,230.0,8.0
25 Gordon Street,2017-01-03 04:00:00,8.0,30.37,32,240.0,8.0
25 Gordon Street,2017-01-03 04:30:00,9.0,30.37,32,240.0,9.0
25 Gordon Street,2017-01-03 05:00:00,9.0,30.37,32,240.0,7.0
25 Gordon Street,2017-01-03 05:30:00,9.0,30.37,34,240.0,10.0
25 Gordon Street,2017-01-03 06:00:00,9.5,30.37,34,250.0,10.0
25 Gordon Street,2017-01-03 06:30:00,10.0,30.37,34,240.0,12.0
25 Gordon Street,2017-01-03 07:00:00,12.5,30.37,34,240.0,12.0
25 Gordon Street,2017-01-03 07:30:00,12.0,30.37,34,240.0,12.0
25 Gordon Street,2017-01-03 08:00:00,14.0,30.37,34,250.0,13.0
25 Gordon Street,2017-01-03 08:30:00,13.5,30.37,34,240.0,10.0
25 Gordon Street,2017-01-03 09:00:00,14.0,30.37,36,240.0,8.0
25 Gordon Street,2017-01-03 09:30:00,15.0,30.37,37,240.0,9.0
25 Gordon Street,2017-01-03 10:00:00,14.0,30.37,37,240.0,13.0
25 Gordon Street,2017-01-03 10:30:00,14.0,30.34,37,250.0,13.0
25 Gordon Street,2017-01-03 11:00:00,17.0,30.34,39,250.0,13.0
25 Gordon Street,2017-01-03 11:30:00,18.5,30.34,39,250.0,14.0
25 Gordon Street,2017-01-03 12:00:00,17.5,30.31,41,250.0,14.0
25 Gordon Street,2017-01-03 12:30:00,16.5,30.31,41,260.0,13.0
25 Gordon Street,2017-01-03 13:00:00,17.0,30.31,43,270.0,14.0
25 Gordon Street,2017-01-03 13:30:00,16.0,30.28,43,270.0,15.0
25 Gordon Street,2017-01-03 14:00:00,16.5,30.28,43,270.0,14.0
25 Gordon Street,2017-01-03 14:30:00,15.5,30.28,43,270.0,14.0
25 Gordon Street,2017-01-03 15:00:00,16.5,30.28,43,280.0,17.0
25 Gordon Street,2017-01-03 15:30:00,16.5,30.28,43,280.0,16.0
25 Gordon Street,2017-01-03 16:00:00,16.5,30.28,43,270.0,17.0
25 Gordon Street,2017-01-03 16:30:00,16.0,30.28,43,270.0,15.0
25 Gordon Street,2017-01-03 17:00:00,15.0,30.25,43,260.0,14.0
25 Gordon Street,2017-01-03 17:30:00,15.0,30.25,43,250.0,13.0
25 Gordon Street,2017-01-03 18:00:00,13.5,30.25,41,250.0,14.0
25 Gordon Street,2017-01-03 18:30:00,13.0,30.25,41,240.0,14.0
25 Gordon Street,2017-01-03 19:00:00,12.5,30.25,41,250.0,12.0
25 Gordon Street,2017-01-03 19:30:00,11.5,30.25,41,260.0,12.0
25 Gordon Street,2017-01-03 20:00:00,11.0,30.25,41,260.0,14.0
25 Gordon Street,2017-01-03 20:30:00,11.0,30.25,41,250.0,13.0
25 Gordon Street,2017-01-03 21:00:00,11.5,30.22,41,260.0,14.0
25 Gordon Street,2017-01-03 21:30:00,10.5,30.25,43,280.0,16.0
25 Gordon Street,2017-01-03 22:00:00,11.0,30.22,43,260.0,14.0
25 Gordon Street,2017-01-03 22:30:00,10.5,30.22,41,260.0,15.0
25 Gordon Street,2017-01-03 23:00:00,11.0,30.19,41,250.0,14.0
25 Gordon Street,2017-01-03 23:30:00,10.5,30.19,41,250.0,14.0
25 Gordon Street,2017-01-04 00:00:00,11.5,30.19,41,250.0,16.0
25 Gordon Street,2017-01-04 00:30:00,10.5,30.19,39,260.0,16.0
25 Gordon Street,2017-01-04 01:00:00,10.5,30.19,39,260.0,15.0
25 Gordon Street,2017-01-04 01:30:00,10.0,30.19,39,260.0,13.0
25 Gordon Street,2017-01-04 02:00:00,10.0,30.19,41,250.0,13.0
25 Gordon Street,2017-01-04 02:30:00,10.0,30.19,41,250.0,10.0
25 Gordon Street,2017-01-04 03:00:00,10.0,30.19,41,250.0,12.0
25 Gordon Street,2017-01-04 03:30:00,10.0,30.19,41,260.0,12.0
25 Gordon Street,2017-01-04 04:00:00,10.5,30.19,41,260.0,12.0
25 Gordon Street,2017-01-04 04:30:00,10.5,30.19,43,260.0,10.0
25 Gordon Street,2017-01-04 05:00:00,10.0,30.19,43,260.0,10.0
25 Gordon Street,2017-01-04 05:30:00,10.0,30.16,41,260.0,12.0
25 Gordon Street,2017-01-04 06:00:00,11.0,30.16,43,260.0,12.0
25 Gordon Street,2017-01-04 06:30:00,13.0,30.16,45,270.0,13.0
25 Gordon Street,2017-01-04 07:00:00,14.0,30.16,45,280.0,13.0
25 Gordon Street,2017-01-04 07:30:00,14.5,30.16,45,290.0,13.0
25 Gordon Street,2017-01-04 08:00:00,15.0,30.19,45,290.0,14.0
25 Gordon Street,2017-01-04 08:30:00,15.0,30.19,45,290.0,13.0
25 Gordon Street,2017-01-04 09:00:00,15.5,30.19,45,290.0,12.0
