datetime,kWh,pressure,temperature,wind_speed
2017-01-01 0:00,0,30.19,46,10
2017-01-01 0:30,2310.732265,30.19,45,7
2017-01-01 1:00,2289.332265,30.16,45,6
2017-01-01 1:30,2314.583265,30.16,45,7
2017-01-01 2:00,2309.308265,30.13,45,10
2017-01-01 2:30,2315.057265,30.13,45,9
2017-01-01 3:00,2331.782265,30.1,45,9
2017-01-01 3:30,2320.183265,30.1,45,8
2017-01-01 4:00,2308.883265,30.07,45,8
2017-01-01 4:30,2306.232265,30.04,45,8
2017-01-01 5:00,2262.758265,30.04,45,9
2017-01-01 5:30,2314.282265,30.01,45,8
2017-01-01 6:00,2318.933265,30.01,45,8
2017-01-01 6:30,2320.320265,30.01,45,7
2017-01-01 7:00,2335.382265,30.01,45,8
2017-01-01 7:30,2363.983265,29.98,46,7
2017-01-01 8:00,2342.532265,29.98,46,7
2017-01-01 8:30,2340.195265,29.98,46,7
2017-01-01 9:00,2356.696265,29.98,46,6
2017-01-01 9:30,2362.432265,29.98,48,5
2017-01-01 10:00,2379.708265,29.96,48,7
2017-01-01 10:30,2404.594265,29.96,50,9
2017-01-01 11:00,2413.120265,29.96,50,9
2017-01-01 11:30,2411.383265,29.96,50,8
2017-01-01 12:00,2405.257265,29.96,50,10
2017-01-01 12:30,2397.783265,29.93,50,9
2017-01-01 13:00,2401.557265,29.93,50,9
2017-01-01 13:30,2415.733265,29.93,50,9
2017-01-01 14:00,2384.507265,29.93,48,8
2017-01-01 14:30,2367.482265,29.96,45,17
2017-01-01 15:00,2435.558265,29.98,43,13
2017-01-01 15:30,2450.833265,29.98,43,13
2017-01-01 16:00,2440.544265,30.01,43,10
2017-01-01 16:30,2448.583265,30.04,43,15
2017-01-01 17:00,2452.257265,30.04,41,9
2017-01-01 17:30,2464.420265,30.04,41,12
2017-01-01 18:00,2473.220265,30.07,41,9
2017-01-01 18:30,2435.570265,30.07,41,8
2017-01-01 19:00,2414.633265,30.1,41,9
2017-01-01 19:30,2403.282265,30.1,41,9
2017-01-01 20:00,2369.521265,30.13,41,8
2017-01-01 20:30,2393.932265,30.13,41,9
2017-01-01 21:00,2374.970265,30.13,41,10
2017-01-01 21:30,2401.908265,30.16,41,7
2017-01-01 22:00,2351.495265,30.16,41,8
2017-01-01 22:30,2397.219265,30.16,41,7
2017-01-01 23:00,2324.508265,30.16,41,6
2017-01-01 23:30,2334.486932,30.19,41,7
2017-01-02 0:00,2433.003599,30.19,41,7
2017-01-02 0:30,2342.161932,30.19,41,9
2017-01-02 1:00,2341.123932,30.19,41,8
2017-01-02 1:30,2310.158265,30.22,41,7
2017-01-02 2:00,2348.883265,30.22,41,10
2017-01-02 2:30,2339.695265,30.25,39,7
2017-01-02 3:00,2364.270265,30.25,39,9
2017-01-02 3:30,2363.632265,30.25,37,7
2017-01-02 4:00,2348.633265,30.28,37,5
2017-01-02 4:30,2340.419265,30.28,37,6
2017-01-02 5:00,2340.109265,30.28,37,2
2017-01-02 5:30,2328.807265,30.28,37,3
2017-01-02 6:00,2347.845265,30.28,37,6
2017-01-02 6:30,2373.695265,30.31,37,7
2017-01-02 7:00,2399.770265,30.31,37,6
2017-01-02 7:30,2469.108265,30.31,37,6
2017-01-02 8:00,2483.832265,30.34,37,6
2017-01-02 8:30,2532.257265,30.34,37,6
2017-01-02 9:00,2575.132265,30.34,37,6
2017-01-02 9:30,2613.396265,30.37,37,9
2017-01-02 10:00,2610.094265,30.37,39,10
2017-01-02 10:30,2599.457265,30.37,39,10
2017-01-02 11:00,2642.834265,30.37,39,9
2017-01-02 11:30,2655.520265,30.37,41,10
2017-01-02 12:00,2658.519265,30.37,41,8
2017-01-02 12:30,2658.570265,30.37,41,9
2017-01-02 13:00,2671.445265,30.37,41,7
2017-01-02 13:30,2688.796265,30.37,43,7
2017-01-02 14:00,2700.219265,30.37,43,7
2017-01-02 14:30,2670.420265,30.37,43,7
2017-01-02 15:00,2678.633265,30.37,41,6
2017-01-02 15:30,2712.583265,30.37,41,6
2017-01-02 16:00,2706.670265,30.4,41,8
2017-01-02 16:30,2694.245265,30.4,41,6
2017-01-02 17:00,2713.208265,30.4,39,7
2017-01-02 17:30,2708.419265,30.4,39,6
2017-01-02 18:00,2701.195265,30.4,37,6
2017-01-02 18:30,2671.158265,30.4,37,6
2017-01-02 19:00,2645.269265,30.4,37,7
2017-01-02 19:30,2611.045265,30.4,37,7
2017-01-02 20:00,2538.645265,30.4,37,8
2017-01-02 20:30,2490.845265,30.4,37,8
2017-01-02 21:00,2501.845265,30.4,37,7
2017-01-02 21:30,2474.645265,30.4,36,7
2017-01-02 22:00,2480.783265,30.4,36,7
2017-01-02 22:30,2472.795265,30.4,36,6
2017-01-02 23:00,2467.633265,30.4,34,6
2017-01-02 23:30,2433.644265,30.4,34,7
2017-01-03 0:00,2569.211932,30.4,34,7
2017-01-03 0:30,2424.703599,30.4,34,7
2017-01-03 1:00,2380.791599,30.4,34,7
2017-01-03 1:30,2412.782265,30.4,34,6
2017-01-03 2:00,2422.720265,30.4,34,8
2017-01-03 2:30,2409.282265,30.4,32,6
2017-01-03 3:00,2384.009265,30.4,32,8
2017-01-03 3:30,2414.919265,30.37,32,8
2017-01-03 4:00,2396.071265,30.37,32,8
2017-01-03 4:30,2376.231265,30.37,32,9
2017-01-03 5:00,2387.795265,30.37,32,7
2017-01-03 5:30,2425.320265,30.37,34,10
2017-01-03 6:00,2534.470265,30.37,34,10
2017-01-03 6:30,2651.446265,30.37,34,12
2017-01-03 7:00,2666.720265,30.37,34,12
2017-01-03 7:30,2736.645265,30.37,34,12
2017-01-03 8:00,2828.108265,30.37,34,13
2017-01-03 8:30,2880.894265,30.37,34,10
2017-01-03 9:00,3044.846265,30.37,36,8
