datetime,precipitation,pressure,temperature,wind_direction,wind_speed
2017-01-01 00:20:00,,30.19,46,230.0,10.0
2017-01-01 00:50:00,,30.19,45,230.0,7.0
2017-01-01 01:20:00,,30.16,45,230.0,6.0
2017-01-01 01:50:00,,30.16,45,240.0,7.0
2017-01-01 02:20:00,,30.13,45,240.0,10.0
2017-01-01 02:50:00,,30.13,45,210.0,9.0
2017-01-01 03:20:00,,30.1,45,220.0,9.0
2017-01-01 03:50:00,,30.1,45,220.0,8.0
2017-01-01 04:20:00,,30.07,45,220.0,8.0
2017-01-01 04:50:00,,30.04,45,230.0,8.0
2017-01-01 05:20:00,,30.04,45,220.0,9.0
2017-01-01 05:50:00,,30.01,45,230.0,8.0
2017-01-01 06:20:00,,30.01,45,240.0,8.0
2017-01-01 06:50:00,,30.01,45,220.0,7.0
2017-01-01 07:20:00,,30.01,45,230.0,8.0
2017-01-01 07:50:00,,29.98,46,230.0,7.0
2017-01-01 08:20:00,,29.98,46,220.0,7.0
2017-01-01 08:50:00,,29.98,46,220.0,7.0
2017-01-01 09:20:00,,29.98,46,210.0,6.0
2017-01-01 09:50:00,,29.98,48,230.0,5.0
2017-01-01 10:20:00,,29.96,48,240.0,7.0
2017-01-01 10:50:00,,29.96,50,240.0,9.0
2017-01-01 11:20:00,,29.96,50,240.0,9.0
2017-01-01 11:50:00,,29.96,50,250.0,8.0
2017-01-01 12:20:00,,29.96,50,240.0,10.0
2017-01-01 12:50:00,,29.93,50,240.0,9.0
2017-01-01 13:20:00,,29.93,50,240.0,9.0
2017-01-01 13:50:00,,29.93,50,240.0,9.0
2017-01-01 14:20:00,,29.93,48,270.0,8.0
2017-01-01 14:50:00,,29.96,45,350.0,17.0
2017-01-01 15:20:00,,29.98,43,10.0,13.0
2017-01-01 15:50:00,,29.98,43,360.0,13.0
2017-01-01 16:20:00,,30.01,43,10.0,10.0
2017-01-01 16:50:00,,30.04,43,20.0,15.0
2017-01-01 17:20:00,,30.04,41,30.0,9.0
2017-01-01 17:50:00,,30.04,41,30.0,12.0
2017-01-01 18:20:00,,30.07,41,30.0,9.0
2017-01-01 18:50:00,,30.07,41,30.0,8.0
